pair_ID	relatedness_score	entailment_judgment
504	NEUTRAL	3.8230586
509	CONTRADICTION	3.3332412
510	NEUTRAL	2.6875024
511	NEUTRAL	3.9605193
512	NEUTRAL	3.5222335
517	NEUTRAL	3.5918097
518	NEUTRAL	3.7565985
519	NEUTRAL	3.8332434
521	ENTAILMENT	3.1750584
523	NEUTRAL	3.0992901
525	NEUTRAL	3.1252422
532	CONTRADICTION	3.9802337
533	NEUTRAL	3.6801028
534	NEUTRAL	2.5406582
536	NEUTRAL	2.6307125
537	NEUTRAL	4.0472126
539	NEUTRAL	3.321565
540	NEUTRAL	3.2897015
543	NEUTRAL	3.6692486
544	NEUTRAL	3.9534106
546	NEUTRAL	3.6421514
547	NEUTRAL	3.8344364
549	NEUTRAL	3.7936454
553	NEUTRAL	3.7372618
554	NEUTRAL	4.0452623
558	NEUTRAL	3.7808752
559	NEUTRAL	3.8734446
562	NEUTRAL	4.0392513
563	NEUTRAL	3.826664
566	NEUTRAL	3.8409257
567	NEUTRAL	3.9991755
569	NEUTRAL	3.4081285
571	CONTRADICTION	3.963221
572	NEUTRAL	3.4221616
573	NEUTRAL	3.949772
574	CONTRADICTION	3.8541923
575	NEUTRAL	3.1403146
576	NEUTRAL	3.7829728
577	NEUTRAL	3.6920729
578	NEUTRAL	2.5986075
579	NEUTRAL	3.839189
580	NEUTRAL	4.203771
582	NEUTRAL	3.7660155
583	NEUTRAL	4.047765
584	NEUTRAL	3.9440227
585	ENTAILMENT	4.135756
589	NEUTRAL	3.5969577
590	NEUTRAL	3.9410667
591	ENTAILMENT	4.066472
593	NEUTRAL	3.8112845
594	CONTRADICTION	3.7997317
595	NEUTRAL	3.6396823
596	NEUTRAL	3.450626
598	NEUTRAL	2.874197
600	ENTAILMENT	3.8536787
602	NEUTRAL	3.7225528
607	CONTRADICTION	3.3176088
608	NEUTRAL	3.1128235
610	NEUTRAL	3.2812839
612	NEUTRAL	3.6631117
613	NEUTRAL	3.9668527
614	NEUTRAL	3.975728
615	NEUTRAL	3.976934
616	ENTAILMENT	3.6433892
618	NEUTRAL	3.9664536
620	NEUTRAL	2.9990783
623	NEUTRAL	3.8550243
624	NEUTRAL	3.741012
627	NEUTRAL	3.7097578
633	NEUTRAL	3.5626302
635	NEUTRAL	3.5104678
636	NEUTRAL	3.661911
639	ENTAILMENT	4.0300784
640	ENTAILMENT	4.135982
642	NEUTRAL	4.2390985
644	ENTAILMENT	4.02835
652	NEUTRAL	3.7705812
654	NEUTRAL	4.0044947
656	NEUTRAL	3.8940802
658	NEUTRAL	3.868536
659	NEUTRAL	3.7937574
662	NEUTRAL	3.975995
664	NEUTRAL	3.826531
665	NEUTRAL	4.2881355
666	NEUTRAL	4.054078
667	NEUTRAL	4.2815247
669	NEUTRAL	4.301765
670	ENTAILMENT	4.3011985
673	NEUTRAL	4.248987
674	NEUTRAL	4.1575603
675	ENTAILMENT	4.2609506
677	NEUTRAL	3.8853288
681	NEUTRAL	3.9457874
682	NEUTRAL	3.4998298
683	NEUTRAL	3.2656808
684	NEUTRAL	3.5323043
686	NEUTRAL	3.8131175
688	NEUTRAL	3.3896933
694	NEUTRAL	3.5640292
695	NEUTRAL	3.8567357
700	NEUTRAL	2.9999995
701	NEUTRAL	3.6663141
705	NEUTRAL	3.2342973
706	NEUTRAL	3.9881444
707	NEUTRAL	3.6198163
708	NEUTRAL	3.8280067
710	NEUTRAL	3.7443204
711	NEUTRAL	2.927246
712	NEUTRAL	3.726379
713	NEUTRAL	4.182315
714	NEUTRAL	3.9628282
716	NEUTRAL	4.0279403
719	NEUTRAL	3.378673
720	NEUTRAL	2.7875009
721	NEUTRAL	3.1655269
724	NEUTRAL	3.3920846
726	ENTAILMENT	4.2488103
739	NEUTRAL	3.8987942
740	NEUTRAL	3.877349
742	NEUTRAL	3.5631278
743	ENTAILMENT	3.9648628
744	NEUTRAL	3.9042773
750	ENTAILMENT	2.856413
751	CONTRADICTION	3.8267379
753	CONTRADICTION	3.971076
755	ENTAILMENT	4.1351767
756	ENTAILMENT	3.529704
758	CONTRADICTION	3.968554
763	NEUTRAL	4.052831
767	NEUTRAL	1.6564817
770	NEUTRAL	3.2703009
771	NEUTRAL	2.555458
773	NEUTRAL	3.7897944
775	NEUTRAL	3.8997436
776	NEUTRAL	3.2220073
778	NEUTRAL	3.5137842
779	NEUTRAL	3.489139
781	NEUTRAL	3.7462096
782	NEUTRAL	3.9690313
786	NEUTRAL	3.9691606
787	CONTRADICTION	1.5786175
788	NEUTRAL	3.4661407
790	ENTAILMENT	1.626669
794	NEUTRAL	3.8580642
795	NEUTRAL	3.8723068
798	NEUTRAL	3.661499
800	NEUTRAL	3.872373
801	NEUTRAL	3.7649808
803	NEUTRAL	3.884582
805	NEUTRAL	3.9380255
806	NEUTRAL	3.8844652
807	NEUTRAL	3.8374863
808	NEUTRAL	3.9718513
809	CONTRADICTION	3.9196868
810	NEUTRAL	3.850306
814	NEUTRAL	4.001146
815	NEUTRAL	3.8627243
817	NEUTRAL	3.4900355
818	NEUTRAL	3.764748
819	CONTRADICTION	3.4539037
821	NEUTRAL	3.1664813
823	NEUTRAL	4.0290546
826	NEUTRAL	3.1716924
828	CONTRADICTION	3.488832
829	NEUTRAL	4.085526
832	CONTRADICTION	3.4080606
833	NEUTRAL	3.8368735
834	CONTRADICTION	3.5267534
835	NEUTRAL	3.7776308
837	NEUTRAL	3.1813595
838	NEUTRAL	3.7955117
840	NEUTRAL	4.1264386
842	NEUTRAL	4.1383595
843	NEUTRAL	3.709642
847	CONTRADICTION	3.641531
849	NEUTRAL	4.2346377
850	NEUTRAL	3.7297568
853	NEUTRAL	4.015792
854	CONTRADICTION	3.881824
856	NEUTRAL	4.043049
861	NEUTRAL	4.034077
863	NEUTRAL	3.9542584
865	CONTRADICTION	3.9686441
871	NEUTRAL	3.728478
875	ENTAILMENT	3.9042058
877	NEUTRAL	4.0783916
884	NEUTRAL	3.4036798
885	NEUTRAL	3.8366303
886	NEUTRAL	3.5484247
890	ENTAILMENT	4.067296
891	CONTRADICTION	4.116951
894	ENTAILMENT	4.099121
896	NEUTRAL	3.759997
897	CONTRADICTION	4.0957365
900	CONTRADICTION	3.9543762
901	NEUTRAL	4.1274385
903	NEUTRAL	3.8993864
905	NEUTRAL	4.0271087
907	NEUTRAL	3.8971877
911	NEUTRAL	3.8575344
912	NEUTRAL	4.1203017
914	NEUTRAL	3.9466715
916	NEUTRAL	3.9113803
918	ENTAILMENT	1.4819187
919	ENTAILMENT	2.240424
921	CONTRADICTION	2.7614636
923	ENTAILMENT	3.9796638
924	NEUTRAL	3.7275562
925	NEUTRAL	3.823094
926	NEUTRAL	3.7884378
928	NEUTRAL	2.2645373
929	NEUTRAL	2.6738548
930	ENTAILMENT	3.6191964
934	ENTAILMENT	3.7616348
937	NEUTRAL	4.030555
938	NEUTRAL	4.017735
939	NEUTRAL	3.7255845
941	NEUTRAL	4.051987
942	NEUTRAL	3.859397
946	NEUTRAL	4.0289645
951	NEUTRAL	2.344423
952	NEUTRAL	2.7291965
954	NEUTRAL	1.8814422
955	NEUTRAL	2.82823
958	NEUTRAL	3.7415886
964	NEUTRAL	3.877831
965	NEUTRAL	3.6033626
966	ENTAILMENT	3.5514867
968	NEUTRAL	3.4007986
969	ENTAILMENT	3.8680139
971	NEUTRAL	3.31742
972	NEUTRAL	3.6692095
974	CONTRADICTION	3.590374
976	ENTAILMENT	4.2521524
977	ENTAILMENT	4.15679
981	NEUTRAL	3.2555652
982	NEUTRAL	3.4058027
983	NEUTRAL	3.140975
986	ENTAILMENT	4.0063734
990	NEUTRAL	3.8555946
992	NEUTRAL	3.9652286
993	NEUTRAL	3.904954
995	NEUTRAL	3.4308982
997	NEUTRAL	4.1118703
999	ENTAILMENT	3.6126103
1001	NEUTRAL	3.7834306
1003	ENTAILMENT	3.845883
1005	NEUTRAL	3.8218465
1006	NEUTRAL	3.7252088
1011	NEUTRAL	3.9243279
1012	NEUTRAL	3.355246
1013	NEUTRAL	3.5422058
1014	NEUTRAL	3.869166
1015	NEUTRAL	3.4755168
1017	ENTAILMENT	3.4910321
1020	NEUTRAL	3.8650246
1023	NEUTRAL	3.7931333
1024	ENTAILMENT	3.6716795
1025	NEUTRAL	4.1145787
1027	NEUTRAL	3.5956163
1030	NEUTRAL	3.6041524
1032	NEUTRAL	3.9031591
1034	NEUTRAL	3.8082705
1035	NEUTRAL	3.8803468
1036	NEUTRAL	3.7790208
1040	NEUTRAL	2.333043
1041	NEUTRAL	2.9613857
1042	NEUTRAL	2.2080526
1051	NEUTRAL	3.934177
1056	NEUTRAL	4.0613613
1058	ENTAILMENT	4.199715
1059	NEUTRAL	4.2178288
1060	NEUTRAL	4.212764
1062	CONTRADICTION	3.9900036
1063	NEUTRAL	2.8849244
1066	ENTAILMENT	3.1995072
1067	NEUTRAL	3.994627
1070	NEUTRAL	4.2533126
1071	NEUTRAL	4.052002
1072	NEUTRAL	3.951047
1073	NEUTRAL	3.7604198
1075	NEUTRAL	3.878386
1077	NEUTRAL	3.672872
1078	NEUTRAL	4.059798
1079	NEUTRAL	3.8000436
1081	NEUTRAL	4.036654
1085	NEUTRAL	4.017183
1086	NEUTRAL	4.079119
1089	NEUTRAL	4.2169957
1098	NEUTRAL	3.9588838
1100	NEUTRAL	1.7703186
1101	CONTRADICTION	1.7915123
1103	NEUTRAL	1.5231861
1106	NEUTRAL	4.259512
1107	NEUTRAL	3.9820614
1110	CONTRADICTION	3.9189157
1113	NEUTRAL	1.0052428
1114	NEUTRAL	1.0302237
1116	NEUTRAL	1.3676443
1121	NEUTRAL	4.1678324
1123	NEUTRAL	4.1282005
1124	CONTRADICTION	3.9962049
1126	ENTAILMENT	3.9424243
1127	NEUTRAL	3.8906875
1130	NEUTRAL	3.9776602
1131	NEUTRAL	3.9530268
1132	NEUTRAL	4.008678
1134	NEUTRAL	3.6809125
1136	NEUTRAL	3.7625442
1138	NEUTRAL	4.0180216
1139	NEUTRAL	4.1749287
1140	CONTRADICTION	3.930028
1141	ENTAILMENT	3.6429586
1142	CONTRADICTION	4.0713587
1143	NEUTRAL	0.5767313
1144	NEUTRAL	0.9946356
1146	NEUTRAL	0.6760217
1148	NEUTRAL	4.2817836
1150	NEUTRAL	4.267599
1151	NEUTRAL	4.2700505
1152	NEUTRAL	4.282368
1156	NEUTRAL	4.258396
1158	NEUTRAL	4.0025454
1159	CONTRADICTION	4.0362945
1160	NEUTRAL	3.934061
1163	NEUTRAL	3.841755
1164	CONTRADICTION	3.855001
1166	ENTAILMENT	3.9645839
1168	ENTAILMENT	3.9418335
1171	NEUTRAL	3.8430738
1172	NEUTRAL	4.126968
1173	NEUTRAL	4.0999813
1174	NEUTRAL	4.0594144
1176	NEUTRAL	4.017943
1181	NEUTRAL	1.5750633
1183	NEUTRAL	1.5609648
1185	NEUTRAL	3.8844428
1186	ENTAILMENT	3.4963093
1187	NEUTRAL	4.0367403
1189	NEUTRAL	3.831293
1197	NEUTRAL	4.1355457
1198	NEUTRAL	4.202756
1199	NEUTRAL	3.6923642
1201	NEUTRAL	3.9945064
1203	NEUTRAL	3.9452376
1204	NEUTRAL	3.5798583
1208	ENTAILMENT	3.9729033
1209	NEUTRAL	4.0852766
1210	NEUTRAL	4.2010365
1211	NEUTRAL	3.705295
1216	CONTRADICTION	4.096547
1217	CONTRADICTION	3.5013766
1218	NEUTRAL	3.72795
1220	NEUTRAL	3.900878
1223	NEUTRAL	4.098383
1224	NEUTRAL	4.046748
1225	NEUTRAL	4.0972996
1226	NEUTRAL	3.9692779
1229	NEUTRAL	3.2581902
1231	NEUTRAL	3.6947646
1233	NEUTRAL	4.1825695
1234	CONTRADICTION	4.003504
1235	NEUTRAL	3.5321348
1238	NEUTRAL	3.4101033
1243	NEUTRAL	3.9755902
1245	NEUTRAL	4.051259
1247	CONTRADICTION	3.731254
1250	NEUTRAL	4.0639796
1252	CONTRADICTION	4.012721
1253	CONTRADICTION	4.0820546
1254	NEUTRAL	4.0188966
1256	NEUTRAL	2.4726958
1257	NEUTRAL	4.025004
1258	CONTRADICTION	2.7508798
1260	NEUTRAL	4.249084
1261	NEUTRAL	4.253675
1262	NEUTRAL	4.2092123
1263	CONTRADICTION	3.9288769
1264	NEUTRAL	4.154034
1265	NEUTRAL	4.1948547
1267	NEUTRAL	3.49024
1269	NEUTRAL	4.053273
1272	NEUTRAL	3.9984708
1277	NEUTRAL	2.1405828
1278	NEUTRAL	4.197661
1279	NEUTRAL	3.8928676
1281	CONTRADICTION	3.7953515
1285	NEUTRAL	4.1235986
1286	NEUTRAL	3.49958
1288	CONTRADICTION	4.1953
1289	NEUTRAL	4.106599
1290	NEUTRAL	4.126629
1295	NEUTRAL	3.7971973
1296	NEUTRAL	4.293911
1298	NEUTRAL	4.240963
1299	NEUTRAL	4.2317586
1300	CONTRADICTION	3.5940256
1301	NEUTRAL	3.4767537
1304	NEUTRAL	3.8463326
1306	CONTRADICTION	3.2669458
1307	NEUTRAL	4.147289
1309	NEUTRAL	4.0913453
1310	CONTRADICTION	3.819415
1312	NEUTRAL	3.9900994
1313	NEUTRAL	0.79361725
1314	NEUTRAL	1.545115
1315	NEUTRAL	0.39828122
1316	NEUTRAL	0.42904747
1320	NEUTRAL	4.137866
1322	CONTRADICTION	2.6785073
1323	NEUTRAL	4.122991
1324	NEUTRAL	3.5602734
1325	NEUTRAL	4.076523
1327	NEUTRAL	4.1244054
1330	ENTAILMENT	3.5561914
1331	NEUTRAL	4.035854
1332	ENTAILMENT	4.0623455
1334	NEUTRAL	3.9814777
1337	CONTRADICTION	3.8039913
1338	NEUTRAL	3.034594
1339	NEUTRAL	4.0564036
1340	NEUTRAL	3.9305558
1343	NEUTRAL	4.1859255
1347	CONTRADICTION	4.2273774
1348	ENTAILMENT	3.9398508
1349	NEUTRAL	3.9515572
1351	NEUTRAL	3.964117
1353	NEUTRAL	3.8240528
1356	CONTRADICTION	3.579968
1357	NEUTRAL	3.680027
1360	NEUTRAL	4.174902
1362	NEUTRAL	4.185139
1363	NEUTRAL	3.6841745
1364	NEUTRAL	3.6003766
1366	NEUTRAL	4.142854
1367	NEUTRAL	4.2902985
1369	NEUTRAL	3.9878688
1370	NEUTRAL	4.285953
1374	NEUTRAL	4.037861
1375	NEUTRAL	4.1184554
1377	NEUTRAL	3.992054
1382	NEUTRAL	3.977096
1383	NEUTRAL	3.6053944
1391	NEUTRAL	0.5889648
1392	NEUTRAL	0.6899991
1393	NEUTRAL	0.59016895
1394	ENTAILMENT	3.3823874
1395	NEUTRAL	2.6938577
1397	CONTRADICTION	3.7467928
1398	NEUTRAL	3.8643866
1401	NEUTRAL	2.521783
1402	NEUTRAL	4.0965195
1406	NEUTRAL	4.0175595
1411	NEUTRAL	3.6497426
1413	ENTAILMENT	4.053672
1416	NEUTRAL	4.083039
1418	ENTAILMENT	4.123624
1420	NEUTRAL	4.102313
1422	NEUTRAL	3.9851942
1423	NEUTRAL	3.8903084
1424	CONTRADICTION	4.1000543
1425	NEUTRAL	1.5913057
1426	NEUTRAL	1.312071
1428	NEUTRAL	1.1000228
1430	ENTAILMENT	4.279308
1433	CONTRADICTION	4.163555
1436	NEUTRAL	4.1492534
1437	NEUTRAL	4.240712
1439	NEUTRAL	4.0410967
1440	CONTRADICTION	4.028829
1441	ENTAILMENT	4.0923133
1442	NEUTRAL	3.7895703
1445	NEUTRAL	1.9086554
1447	NEUTRAL	2.3384004
1449	NEUTRAL	4.146369
1450	NEUTRAL	4.0766535
1451	CONTRADICTION	4.068276
1452	NEUTRAL	2.894343
1454	NEUTRAL	3.7544904
1456	NEUTRAL	3.1734767
1457	ENTAILMENT	3.718441
1459	NEUTRAL	4.2290688
1460	NEUTRAL	3.7672577
1462	NEUTRAL	1.6501266
1465	NEUTRAL	1.2804635
1468	ENTAILMENT	4.019267
1471	CONTRADICTION	4.0621414
1472	NEUTRAL	4.003165
1475	ENTAILMENT	3.6268907
1477	ENTAILMENT	4.0579543
1478	CONTRADICTION	4.0386863
1485	NEUTRAL	4.120838
1490	NEUTRAL	2.5596623
1491	CONTRADICTION	3.084642
1492	NEUTRAL	3.3738115
1496	NEUTRAL	4.2473674
1497	NEUTRAL	4.1260915
1500	CONTRADICTION	4.0473776
1502	NEUTRAL	4.00725
1507	NEUTRAL	3.7390037
1508	NEUTRAL	3.7722983
1510	ENTAILMENT	3.8072934
1512	NEUTRAL	3.6016147
1515	NEUTRAL	3.8489223
1516	NEUTRAL	4.0442576
1518	NEUTRAL	3.2455883
1520	NEUTRAL	3.8194532
1522	NEUTRAL	3.8109045
1526	NEUTRAL	3.3561645
1528	ENTAILMENT	2.3649378
1529	NEUTRAL	3.8743792
1530	NEUTRAL	4.1728835
1533	ENTAILMENT	1.3574208
1537	ENTAILMENT	1.3617711
1539	NEUTRAL	4.095749
1540	NEUTRAL	4.2181926
1542	NEUTRAL	2.270583
1543	NEUTRAL	2.9364939
1544	NEUTRAL	2.908061
1546	NEUTRAL	2.6617155
1548	CONTRADICTION	3.9266706
1554	CONTRADICTION	3.5516157
1555	NEUTRAL	3.9965158
1556	ENTAILMENT	3.9101892
1560	ENTAILMENT	4.171359
1561	NEUTRAL	3.5697198
1562	NEUTRAL	4.280684
1564	ENTAILMENT	3.903163
1567	NEUTRAL	3.8652515
1568	ENTAILMENT	4.293323
1569	ENTAILMENT	4.2179356
1571	NEUTRAL	3.0198803
1572	ENTAILMENT	3.593799
1577	ENTAILMENT	3.8523483
1578	ENTAILMENT	3.4902248
1579	CONTRADICTION	3.8115401
1581	CONTRADICTION	4.120443
1583	NEUTRAL	4.121616
1589	NEUTRAL	3.9278784
1590	NEUTRAL	3.9463487
1593	CONTRADICTION	3.8367157
1594	CONTRADICTION	3.3007536
1596	NEUTRAL	4.3640895
1597	NEUTRAL	3.9774609
1598	ENTAILMENT	4.2794223
1600	NEUTRAL	4.066295
1602	NEUTRAL	4.2169275
1603	NEUTRAL	4.051827
1605	NEUTRAL	3.977129
1611	NEUTRAL	3.9082127
1613	ENTAILMENT	3.6254473
1616	NEUTRAL	4.028501
1617	ENTAILMENT	4.058792
1619	ENTAILMENT	4.175821
1620	ENTAILMENT	4.1277766
1622	NEUTRAL	2.4769337
1623	NEUTRAL	3.2206178
1624	NEUTRAL	3.9781985
1630	NEUTRAL	3.9966502
1633	NEUTRAL	1.6883862
1634	CONTRADICTION	2.6741576
1636	NEUTRAL	3.0968122
1637	NEUTRAL	2.1322005
1638	NEUTRAL	4.027322
1642	ENTAILMENT	4.0569053
1644	CONTRADICTION	3.9959607
1645	ENTAILMENT	4.1424766
1654	NEUTRAL	3.9425035
1656	NEUTRAL	4.0363216
1658	NEUTRAL	4.046858
1662	NEUTRAL	3.717362
1664	NEUTRAL	4.0818477
1665	NEUTRAL	4.0108385
1666	NEUTRAL	3.3897662
1667	CONTRADICTION	4.2305374
1672	NEUTRAL	1.6232365
1674	NEUTRAL	2.1285071
1678	NEUTRAL	3.9954038
1679	NEUTRAL	3.3910792
1681	CONTRADICTION	4.0062356
1683	NEUTRAL	3.9052253
1684	NEUTRAL	3.9637952
1685	NEUTRAL	3.9838295
1686	NEUTRAL	3.926931
1688	NEUTRAL	3.9232116
1689	NEUTRAL	3.9932075
1692	ENTAILMENT	1.572416
1693	ENTAILMENT	3.758347
1695	NEUTRAL	3.5977552
